id_vente,id_client,id_produit,quantite,date_achat
1,36,2,2,2024-01-24
2,131,49,3,2025-04-03
3,127,44,4,2024-02-20
4,24,18,5,2024-11-11
5,194,37,2,2025-04-24
6,13,3,4,2024-10-17
7,29,49,1,2025-02-07
8,40,49,2,2025-01-22
9,161,12,4,2025-06-11
10,41,31,3,2024-02-23
11,175,34,1,2025-01-29
12,109,42,4,2024-03-22
13,153,29,1,2023-12-04
14,17,18,4,2023-12-27
15,99,12,5,2025-09-14
16,98,38,3,2025-06-22
17,153,28,2,2025-08-19
18,120,41,4,2024-09-07
19,136,32,1,2023-11-12
20,65,6,3,2025-03-12
21,142,31,2,2025-08-04
22,3,23,1,2025-06-15
23,175,27,3,2025-05-22
24,185,22,1,2023-11-22
25,30,21,3,2024-09-30
26,175,43,2,2025-07-19
27,138,7,2,2024-07-30
28,193,11,1,2024-07-29
29,69,22,3,2023-09-30
30,197,27,4,2024-02-26
31,165,45,2,2024-12-15
32,88,32,4,2024-07-08
33,29,19,4,2023-11-18
34,76,43,5,2025-02-14
35,112,26,1,2025-05-13
36,41,49,1,2025-04-26
37,117,36,1,2024-12-31
38,1,3,3,2024-07-15
39,185,30,2,2023-10-03
40,185,6,2,2024-11-14
41,68,21,5,2023-10-04
42,129,17,5,2023-09-24
43,196,21,5,2024-11-09
44,46,8,4,2025-09-07
45,130,50,1,2025-09-17
46,28,26,3,2023-10-02
47,161,33,2,2023-12-03
48,77,1,3,2024-07-22
49,164,43,1,2023-09-26
50,130,35,1,2024-01-07
51,156,30,2,2024-06-25
52,51,27,4,2025-03-27
53,40,4,5,2025-03-19
54,96,13,4,2025-05-20
55,196,34,1,2025-03-06
56,42,24,1,2024-08-02
57,139,40,4,2024-04-19
58,200,49,5,2024-06-28
59,136,32,5,2024-03-03
60,1,41,1,2024-11-25
61,154,29,5,2024-02-29
62,83,49,5,2023-10-03
63,126,4,2,2024-08-30
64,5,14,2,2024-11-07
65,29,18,3,2024-08-03
66,93,36,4,2023-12-05
67,79,9,1,2025-03-04
68,62,19,5,2024-09-25
69,15,29,3,2024-07-13
70,62,45,2,2023-12-28
71,146,32,5,2024-01-01
72,21,8,4,2025-06-29
73,22,2,2,2024-08-10
74,188,41,1,2024-12-21
75,125,39,5,2024-09-08
76,18,16,3,2025-05-29
77,195,46,1,2025-06-02
78,137,11,5,2025-07-11
79,197,20,5,2025-07-10
80,33,36,5,2025-04-18
81,33,1,5,2024-05-25
82,169,36,5,2024-11-09
83,122,27,1,2024-08-28
84,141,6,4,2025-04-14
85,43,15,4,2025-06-07
86,68,8,1,2025-07-06
87,136,30,4,2024-02-04
88,156,8,3,2025-07-02
89,109,42,3,2024-03-20
90,55,10,1,2024-07-28
91,139,32,3,2025-07-25
92,194,46,1,2024-12-07
93,187,19,3,2023-10-22
94,177,33,2,2023-11-21
95,52,46,1,2023-09-30
96,183,18,5,2024-01-06
97,80,27,3,2024-04-23
98,103,31,2,2023-10-19
99,172,31,1,2025-01-04
100,167,16,3,2024-05-14
101,96,30,5,2024-09-01
102,113,36,3,2024-06-05
103,133,10,2,2024-11-27
104,116,25,4,2025-05-30
105,31,13,4,2024-03-26
106,64,39,2,2023-11-06
107,58,33,2,2024-06-11
108,17,48,1,2024-05-07
109,87,9,4,2024-04-18
110,6,5,1,2025-03-05
111,151,18,3,2024-02-06
112,142,50,2,2023-09-26
113,59,27,1,2025-05-08
114,151,22,2,2025-03-13
115,57,33,1,2024-02-10
116,2,18,3,2025-03-21
117,19,1,3,2023-11-22
118,182,19,5,2024-09-25
119,162,47,4,2024-03-18
120,16,20,5,2025-03-30
121,59,38,4,2024-08-21
122,18,38,3,2025-01-24
123,9,43,1,2023-10-05
124,85,32,2,2025-07-15
125,19,10,3,2023-12-23
126,132,29,3,2025-09-09
127,61,35,1,2025-05-19
128,72,31,3,2025-04-23
129,172,23,3,2024-12-19
130,125,22,1,2024-03-02
131,55,36,3,2025-02-14
132,139,49,4,2025-05-14
133,34,35,4,2025-01-06
134,186,25,4,2025-06-15
135,147,30,4,2023-11-16
136,148,21,3,2023-12-15
137,122,13,2,2025-09-19
138,63,45,4,2024-10-14
139,122,16,4,2025-03-17
140,105,37,3,2024-06-21
141,49,25,5,2025-07-29
142,25,15,3,2023-11-07
143,25,50,1,2025-06-17
144,169,27,4,2024-01-01
145,111,3,1,2025-08-03
146,91,21,4,2025-08-09
147,109,48,5,2024-05-18
148,106,31,2,2025-04-16
149,120,46,5,2023-11-24
150,187,25,3,2024-09-06
151,14,25,3,2025-04-13
152,173,43,1,2024-02-16
153,168,42,1,2025-02-11
154,166,10,3,2025-05-28
155,26,32,3,2024-08-21
156,16,3,3,2023-12-15
157,104,9,4,2025-06-18
158,187,33,5,2024-10-23
159,87,38,4,2024-01-21
160,28,22,2,2023-12-25
161,64,7,4,2025-01-14
162,50,29,3,2023-12-24
163,49,7,4,2023-11-20
164,138,34,1,2024-12-23
165,115,30,3,2023-11-18
166,36,1,5,2025-09-18
167,109,47,4,2024-06-09
168,47,10,3,2024-05-29
169,72,27,1,2025-06-19
170,119,42,1,2025-07-30
171,64,10,4,2024-01-01
172,20,5,3,2023-10-22
173,114,31,5,2025-07-06
174,141,17,2,2025-07-19
175,26,22,1,2024-08-06
176,13,40,2,2025-05-25
177,167,45,5,2025-07-26
178,139,26,4,2025-08-15
179,4,42,1,2025-06-27
180,24,6,2,2023-12-19
181,193,22,1,2025-03-09
182,61,44,2,2024-06-22
183,43,35,3,2025-01-06
184,105,25,3,2024-08-30
185,125,21,4,2024-01-11
186,124,41,5,2024-12-13
187,55,46,1,2024-04-26
188,103,49,5,2024-10-06
189,16,32,2,2024-04-19
190,43,35,4,2024-12-02
191,98,3,3,2024-03-13
192,1,40,3,2025-05-07
193,100,5,4,2023-12-03
194,68,16,1,2025-09-20
195,117,41,5,2025-06-18
196,74,44,2,2024-09-24
197,109,19,5,2024-04-01
198,179,15,3,2025-09-03
199,188,48,4,2023-11-16
200,143,6,3,2024-09-08
201,170,28,3,2025-06-03
202,184,7,2,2025-06-05
203,125,49,1,2023-11-01
204,40,41,1,2024-01-16
205,49,46,2,2025-07-24
206,76,7,4,2024-11-23
207,56,29,5,2025-01-02
208,15,11,4,2024-04-12
209,149,45,5,2025-03-11
210,189,20,1,2023-10-01
211,139,2,3,2024-01-06
212,16,3,3,2023-12-09
213,192,21,4,2024-05-26
214,81,4,2,2024-03-30
215,15,19,5,2025-02-07
216,13,23,3,2025-06-20
217,150,24,4,2024-01-02
218,123,28,2,2025-01-17
219,129,10,1,2024-08-18
220,136,16,2,2024-11-14
221,41,34,1,2024-11-30
222,15,27,4,2024-06-24
223,131,37,2,2024-07-06
224,21,44,4,2023-12-25
225,48,12,1,2024-03-28
226,18,11,3,2024-10-03
227,153,12,3,2024-01-20
228,18,6,1,2025-04-07
229,173,40,5,2024-04-28
230,61,25,5,2025-08-29
231,104,40,3,2025-02-27
232,31,44,3,2024-12-28
233,146,16,2,2025-01-21
234,64,32,2,2024-10-16
235,149,38,3,2024-03-29
236,153,10,5,2024-08-19
237,11,15,2,2024-04-13
238,159,30,1,2024-07-28
239,21,41,2,2024-08-17
240,108,17,2,2025-04-20
241,169,30,2,2025-08-08
242,150,17,4,2023-10-31
243,145,43,1,2024-03-05
244,134,1,3,2025-07-22
245,81,30,5,2024-06-30
246,67,19,5,2025-04-13
247,53,44,3,2023-11-09
248,172,35,4,2023-10-22
249,184,11,5,2025-03-31
250,81,5,2,2025-09-16
251,62,29,5,2025-02-13
252,68,23,1,2023-12-06
253,102,38,1,2025-08-14
254,34,20,3,2024-09-07
255,172,41,4,2023-10-17
256,166,28,4,2025-01-04
257,77,45,5,2023-10-28
258,118,17,4,2024-10-14
259,81,30,4,2025-01-30
260,193,20,5,2025-05-26
261,19,13,1,2024-11-22
262,3,25,2,2024-09-24
263,118,31,3,2025-01-01
264,160,7,1,2025-06-15
265,145,16,4,2025-08-10
266,26,25,4,2023-09-30
267,19,37,5,2025-01-27
268,138,23,3,2023-10-12
269,55,37,2,2024-11-22
270,130,19,5,2024-06-10
271,68,45,5,2024-09-19
272,34,19,2,2024-09-07
273,90,2,2,2025-07-26
274,18,43,4,2025-01-19
275,63,26,5,2024-12-18
276,95,18,1,2024-01-09
277,73,1,1,2025-06-12
278,41,37,5,2025-09-09
279,113,44,2,2023-10-10
280,140,50,3,2024-04-16
281,181,48,2,2025-07-03
282,78,4,2,2024-08-18
283,157,39,3,2025-04-09
284,168,48,2,2024-01-13
285,136,32,3,2025-07-21
286,3,19,5,2023-10-08
287,171,50,3,2023-12-02
288,142,15,1,2024-08-27
289,77,39,3,2024-01-24
290,170,23,2,2024-05-07
291,27,15,5,2025-08-30
292,35,41,3,2024-06-29
293,68,13,2,2023-10-13
294,30,40,3,2024-04-18
295,28,17,5,2024-08-20
296,191,44,5,2025-06-05
297,142,49,1,2025-08-23
298,40,47,5,2024-05-07
299,70,50,2,2025-03-04
300,73,43,5,2025-05-13
301,155,44,5,2024-08-13
302,54,9,2,2024-02-09
303,184,41,2,2024-10-29
304,88,7,5,2025-01-24
305,53,41,5,2025-03-22
306,176,42,3,2023-12-24
307,163,3,5,2025-08-03
308,68,20,1,2024-03-06
309,130,29,1,2025-08-30
310,126,3,1,2025-04-26
311,65,38,1,2024-09-29
312,14,24,5,2025-01-05
313,24,47,3,2024-12-27
314,163,9,2,2024-09-17
315,109,6,5,2024-07-31
316,71,19,4,2024-08-26
317,12,21,5,2025-08-06
318,1,48,1,2023-10-24
319,86,27,4,2025-06-06
320,198,12,5,2024-02-10
321,34,13,3,2023-12-24
322,164,9,3,2023-10-03
323,68,35,4,2025-05-02
324,42,24,2,2025-02-07
325,190,34,4,2025-02-26
326,114,33,3,2024-09-12
327,142,18,4,2024-12-25
328,181,11,1,2025-05-04
329,110,17,1,2023-11-24
330,144,31,2,2025-07-07
331,3,19,4,2025-04-04
332,29,48,4,2025-08-03
333,20,22,4,2025-04-11
334,177,8,4,2025-02-20
335,39,30,2,2025-02-20
336,140,5,3,2025-07-04
337,10,10,5,2024-01-02
338,95,49,2,2024-09-01
339,150,15,3,2025-07-11
340,142,44,3,2024-03-24
341,38,47,3,2024-11-24
342,111,44,4,2024-12-22
343,33,26,2,2023-09-30
344,11,36,3,2024-07-15
345,79,24,5,2025-07-01
346,94,6,5,2024-12-27
347,11,26,1,2025-08-09
348,92,1,3,2025-09-04
349,54,17,2,2025-06-15
350,175,35,4,2024-05-13
351,64,8,1,2023-10-20
352,171,30,3,2024-04-29
353,27,24,4,2025-06-26
354,91,44,2,2025-05-08
355,200,48,2,2024-02-28
356,144,44,1,2024-09-02
357,105,17,1,2024-06-17
358,159,38,3,2023-10-18
359,192,25,4,2025-02-03
360,40,41,5,2023-11-22
361,61,24,4,2023-10-24
362,42,7,2,2024-06-14
363,46,44,2,2024-02-25
364,106,15,3,2025-04-13
365,7,31,5,2024-12-07
366,46,2,3,2025-07-28
367,189,40,2,2024-04-17
368,86,36,2,2024-06-05
369,106,21,4,2024-11-17
370,172,40,5,2024-05-22
371,189,15,4,2024-03-01
372,64,42,4,2023-12-14
373,69,5,3,2025-08-09
374,41,41,4,2024-06-21
375,180,30,1,2023-10-17
376,28,45,1,2024-05-31
377,98,20,4,2025-03-01
378,10,42,5,2024-10-17
379,121,27,4,2025-02-03
380,57,8,2,2023-11-13
381,52,9,2,2024-04-03
382,118,3,5,2023-10-15
383,90,3,3,2025-06-25
384,79,20,1,2023-12-19
385,59,32,1,2024-07-14
386,58,8,3,2024-10-27
387,7,7,4,2023-11-27
388,169,16,5,2025-06-16
389,50,35,4,2025-09-09
390,103,9,3,2023-11-03
391,85,25,5,2024-12-29
392,72,30,1,2024-05-08
393,18,24,1,2025-08-02
394,198,43,4,2023-12-14
395,72,48,2,2025-05-29
396,90,45,3,2025-08-08
397,165,35,3,2024-06-16
398,131,27,4,2025-02-01
399,103,38,3,2025-05-13
400,174,48,1,2025-07-11
401,138,47,4,2023-11-05
402,85,10,1,2024-08-07
403,8,27,5,2024-11-03
404,30,42,5,2024-10-26
405,67,7,2,2024-03-06
